IdEdo;Estado;1995;2000;2005;2010;2015;2020
0;Nacional;0.68679;0.71404;0.74853;0.76249;0.78969;0.8025
1;Aguascalientes;0.74298;0.76229;0.78384;0.79744;0.81434;0.82626
2;Baja California;0.70685;0.73115;0.76282;0.77914;0.8007;0.8072
3;Baja California Sur;0.71887;0.73735;0.7651;0.78375;0.80854;0.81594
4;Campeche;0.66262;0.69351;0.73963;0.75832;0.78683;0.80338
5;Coahuila de Zaragoza;0.72482;0.74991;0.77648;0.78915;0.80315;0.81872
6;Colima;0.73369;0.75681;0.78366;0.79557;0.8031;0.81097
7;Chiapas;0.57489;0.62568;0.67362;0.69647;0.73038;0.743
8;Chihuahua;0.69729;0.72144;0.74842;0.74335;0.78333;0.79317
9;Ciudad de México;0.7841;0.80204;0.81743;0.82564;0.84397;0.84681
10;Durango;0.68519;0.71668;0.74475;0.75044;0.78722;0.80271
11;Guanajuato;0.66779;0.69742;0.73334;0.75372;0.77607;0.7847
12;Guerrero;0.61773;0.64188;0.68317;0.68881;0.73868;0.762
13;Hidalgo;0.644;0.68325;0.72922;0.75296;0.78757;0.80805
14;Jalisco;0.71693;0.73881;0.76711;0.78076;0.79961;0.81053
15;México;0.71948;0.74167;0.76738;0.77919;0.80328;0.81431
16;Michoacán de Ocampo;0.66346;0.68766;0.72583;0.73908;0.76975;0.78264
17;Morelos;0.71841;0.73901;0.76818;0.77608;0.7979;0.8056
18;Nayarit;0.69887;0.72301;0.75775;0.76808;0.79617;0.80725
19;Nuevo León;0.75519;0.77501;0.7933;0.80216;0.82255;0.83266
20;Oaxaca;0.58104;0.61314;0.66543;0.69051;0.73194;0.75195
21;Puebla;0.6333;0.6665;0.71686;0.73843;0.7713;0.78894
22;Querétaro;0.67678;0.7112;0.75134;0.77628;0.80353;0.82628
23;Quintana Roo;0.69785;0.74069;0.77173;0.78026;0.80159;0.81405
24;San Luis Potosí;0.63592;0.67411;0.72325;0.74476;0.77707;0.79421
25;Sinaloa;0.70139;0.72671;0.76987;0.77701;0.811;0.82621
26;Sonora;0.71266;0.73628;0.76744;0.78009;0.80184;0.81211
27;Tabasco;0.66998;0.6997;0.73843;0.75122;0.78768;0.7964
28;Tamaulipas;0.69815;0.73258;0.76433;0.77672;0.79691;0.81023
29;Tlaxcala;0.70784;0.73153;0.76775;0.78625;0.80534;0.81547
30;Veracruz de Ignacio de la Llave;0.62448;0.65669;0.70558;0.7241;0.75642;0.77294
31;Yucatán;0.66241;0.69651;0.73594;0.75969;0.78549;0.80869
32;Zacatecas;0.65556;0.69336;0.73908;0.75768;0.78697;0.79768
