State;meanLongevityIndex;meanWaterIndex;meanElectricityIndex;meanDrainageIndex;meanExpectedYearsSchool6a24Index;meanAverageYearsSchool24plusIndex;lat_decimal;lon_decimal
Aguascalientes;0.754636;0.979336;0.987574;0.967778;0.68699;0.596704;21.879823;-102.296047
Baja California;0.711596;0.925828;0.98076;0.877696;0.703552;0.606044;32.641176;-115.475579
Baja California Sur;0.744742;0.889586;0.963222;0.876056;0.709324;0.614044;24.148745;-110.30659
Campeche;0.756378;0.840222;0.940688;0.752304;0.701456;0.536196;19.844814;-90.539649
Coahuila de Zaragoza;0.733348;0.958574;0.989264;0.89146;0.695018;0.615898;16.753972;-93.115192
Colima;0.74295;0.96608;0.987112;0.970304;0.70658;0.573796;28.636794;-106.076307
Chiapas;0.724194;0.72221;0.905992;0.713538;0.620774;0.395938;19.4328049999999;-99.1330449999999
Chihuahua;0.69153;0.936388;0.950686;0.886008;0.691086;0.573396;25.421665;-100.999721
Ciudad de México;0.733694;0.976886;0.998968;0.99112;0.778592;0.705946;19.242922;-103.728119
Durango;0.745566;0.916102;0.947698;0.803108;0.677538;0.54489;24.023988;-104.670194
Guanajuato;0.743882;0.912794;0.9752;0.83638;0.64339;0.480722;21.016098;-101.253621
Guerrero;0.762804;0.656844;0.924912;0.637148;0.660078;0.442906;17.551649;-99.501063
Hidalgo;0.750462;0.845206;0.948276;0.754926;0.696996;0.49764;20.12236;-98.737001
Jalisco;0.738136;0.929676;0.984524;0.949918;0.678824;0.562704;20.676389;-103.342222
México;0.730332;0.921664;0.987652;0.903034;0.707514;0.584976;19.293488;-99.657317
Michoacán de Ocampo;0.747908;0.876858;0.96893;0.818136;0.64022;0.45817;19.703384;-101.192046
Morelos;0.750322;0.88998;0.990504;0.905004;0.693236;0.56846;18.921783;-99.234897
Nayarit;0.757592;0.885828;0.958014;0.866706;0.70059;0.539982;21.507413;-104.893799
Nuevo León;0.75315;0.957484;0.992116;0.944824;0.70334;0.647828;25.664697;-100.310892
Oaxaca;0.731302;0.709432;0.916666;0.58151;0.65936;0.413816;17.059993;-96.72545
Puebla;0.716732;0.826138;0.96638;0.75565;0.673106;0.49529;19.04399;-98.197495
Querétaro;0.740622;0.90976;0.960288;0.829254;0.68348;0.579792;20.593391;-100.389957
Quintana Roo;0.759588;0.901696;0.9651;0.880426;0.676034;0.591686;18.493889;-88.297899
San Luis Potosí;0.76037;0.797926;0.917482;0.709136;0.684916;0.517066;22.151655;-100.976958
Sinaloa;0.755108;0.898412;0.976776;0.829362;0.729944;0.574382;24.808808;-107.393756
Sonora;0.721872;0.943372;0.974124;0.842884;0.724924;0.60739;29.074892;-110.958464
Tabasco;0.730978;0.738216;0.963286;0.910368;0.705082;0.53873;17.987838;-92.919416
Tamaulipas;0.746018;0.93026;0.961234;0.8068;0.702658;0.586686;23.731053;-99.15125
Tlaxcala;0.74369;0.955742;0.98629;0.883186;0.698062;0.55314;19.316553;-98.23764
Veracruz de Ignacio de la Llave;0.73479;0.719512;0.924772;0.749138;0.684418;0.474824;19.527085;-96.922645
Yucatán;0.748792;0.924548;0.970222;0.679064;0.710726;0.518052;20.967537;-89.624392
Zacatecas;0.757936;0.89312;0.969852;0.79273;0.665714;0.48883;22.776096;-102.571836
