2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
0.718;0.718;0.723;0.727;0.732;0.737;0.743;0.746;0.749;0.753;0.742;0.755;0.761;0.763
0.528;0.545;0.557;0.567;0.577;0.603;0.609;0.61;0.611;0.611;0.61;0.609;0.615;0.616
0.485;0.49;0.497;0.506;0.509;0.511;0.51;0.507;0.507;0.507;0.504;0.506;0.512;0.515
0.652;0.661;0.667;0.676;0.685;0.69;0.696;0.704;0.71;0.718;0.718;0.7;0.729;0.731
0.377;0.389;0.398;0.405;0.409;0.419;0.427;0.438;0.449;0.453;0.453;0.454;0.457;0.459
0.416;0.42;0.425;0.428;0.431;0.432;0.436;0.434;0.434;0.435;0.435;0.435;0.437;0.439
0.648;0.654;0.655;0.66;0.659;0.658;0.661;0.663;0.663;0.667;0.647;0.651;0.664;0.668
0.529;0.538;0.549;0.558;0.566;0.575;0.579;0.581;0.582;0.582;0.579;0.574;0.581;0.588
0.377;0.385;0.359;0.319;0.377;0.376;0.356;0.391;0.279;0.386;0.339;0.414;0.414;0.414
0.375;0.384;0.391;0.396;0.401;0.396;0.396;0.397;0.402;0.406;0.408;0.408;0.414;0.416
0.534;0.541;0.548;0.556;0.56;0.565;0.571;0.577;0.584;0.589;0.592;0.594;0.602;0.603
0.609;0.613;0.624;0.63;0.639;0.643;0.64;0.635;0.64;0.634;0.643;0.643;0.644;0.649
0.44;0.447;0.451;0.456;0.467;0.477;0.487;0.491;0.497;0.501;0.506;0.508;0.514;0.522
0.465;0.469;0.478;0.487;0.511;0.519;0.53;0.539;0.545;0.552;0.553;0.557;0.565;0.582
0.421;0.432;0.442;0.45;0.459;0.469;0.477;0.484;0.492;0.497;0.499;0.501;0.51;0.513
0.677;0.68;0.689;0.695;0.699;0.706;0.713;0.72;0.728;0.736;0.736;0.738;0.751;0.754
0.612;0.624;0.635;0.644;0.652;0.656;0.659;0.661;0.663;0.667;0.668;0.671;0.677;0.674
0.465;0.48;0.483;0.479;0.497;0.48;0.485;0.48;0.49;0.495;0.495;0.496;0.499;0.503
0.534;0.545;0.562;0.578;0.592;0.607;0.619;0.631;0.643;0.653;0.657;0.658;0.695;0.695
