longitude;latitude;LEB;PIB;EYS
2,632;28,034;75,06635714;4991,221498;14,96147115
17,544;-12,293;61,41035714;3154,686931;11,49901264
2,316;9,308;59,416;1143,389274;11,24051629
24,685;-22,329;64,14078571;7053,532509;11,53593987
-1,754;12,238;59,07228571;756,4952635;8,13150726
29,874;-3,373;60,69757143;229,9115591;10,48431081
-23,628;15,12;74,26121429;3968,072786;12,03478348
12,354;7,37;60,22292857;1548,244272;11,3008366
20,939;6,611;45,51128571;452,7372012;6,790192365
18,732;15,454;52,11021429;1050,617261;7,809051109
43,333;-11,646;64,78335714;1603,306074;12,18582495
15,266;-4,263;63,59630769;2779,230061;11,51536532
23,644;-4,038;59,10364286;481,584411;9,891835192
-5,547;7,54;58,79057143;1993,76075;9,197624933
42,59;11,825;63,3045;2405,191354;5,61655983
31,236;30,044;70,15671429;3117,834388;12,21590082
10,268;1,651;61,11021429;10449,59266;11,05552562
39,782;15,179;66,17828571;450,0036579;7,335179793
31,466;-26,523;56,16028571;3802,312749;13,87001607
40,49;9,145;63,99028571;642,6867364;8,66891471
11,609;-0,804;66,52757143;8089,363896;12,25707827
-16,579;13,443;63,35471429;714,2313437;8,364599391
-1,023;7,947;63,47114286;1988,840264;11,08063024
-13,578;9,946;58,48478571;931,2263729;9,527274926
-15,18;11,804;60,54457143;755,1751389;10,1601311
36,822;-1,292;62,19742857;1634,631636;11,08253373
27,479;-29,61;52,39792857;1093,575927;11,27988577
-9,43;6,428;60,50714286;671,5409752;10,20673765
17,228;26,335;72,03428571;8921,735054;13,67863682
46,869;-18,767;63,14492857;486,3270324;9,761544091
33,93;-13,254;62,94507143;575,5465005;10,30770319
-3,996;17,571;0,414928571;934,2799372;7,123479755
-10,941;20,798;66,7935;1796,284756;8,195628682
57,552;-20,348;74,30985714;9961,974314;14,34752819
-7,093;31,792;73,09357143;3373,109724;12,97328847
34,915;-18,666;59,36264286;565,4905219;10,4351104
17,083;-22,56;60,95371429;4935,979509;11,66770204
8,082;17,608;59,1525;551,2755195;6,613074457
8,675;9,082;52,53792857;2274,56031;9,55803223
29,874;-1,94;65,69007143;771,1322435;11,63116435
6,728;0,186;66,65478571;1732,728763;11,95141546
-14,452;14,497;66,57171429;1415,168934;9,016041313
55,492;-4,68;72,33857143;15462,67912;16,53216693
-11,78;8,461;56,98792857;874,8473261;8,842805321
25,731;-28,479;63,68364286;6834,610805;13,91278778
31,307;6,877;52,04907143;1332,061096;5,495174539
30,218;12,863;64,58085714;995,580501;8,067915924
34,889;-6,369;64,48207143;1002,468122;8,555605701
1,22;8,619;59,86071429;828,923967;12,46113048
9,537;33,887;74,96064286;3970,866078;14,38430921
27,849;-13,134;61,34442857;1422,300025;11,00847734
29,747;-19,015;58,85342857;1697,215696;10,93583388
